Audio File,Clip length(hh:mm:ss),Audio File Size (in MB),Audio Format,Annotation File,Source Video Title,Web Link of the video
UKIERI_HINDI_AUDIO_048.wav,00:33:01,166,wav,UKIERI_HINDI_AUDIO_048.TextGrid,"BIG DEBATE Has JNU become home of traitors [Low, 360p]",https://www.youtube.com/watch?v=kcvBMZp18WE
UKIERI_HINDI_AUDIO_049.wav,00:23:44,119,wav,UKIERI_HINDI_AUDIO_049.TextGrid,"Big Debate Why accused JNU students are not respecting law [Low, 360p]",https://www.youtube.com/watch?v=d8OdOw5-oF4
UKIERI_HINDI_AUDIO_050.wav,00:46:44,235,wav,UKIERI_HINDI_AUDIO_050.TextGrid,"Debate Asaduddin Owaisi vs Subramanian Swamy on Ram Mandir in Ayodhya [Low, 360p]",https://drive.google.com/file/d/1njnsjFVeOIRo-9evkviuneTXNelSflUM/view?usp=sharing
UKIERI_HINDI_AUDIO_051.wav,00:44:47,226,wav,UKIERI_HINDI_AUDIO_051.TextGrid,Frankly Speaking with Raj Thackeray - Full Interview,https://www.youtube.com/watch?v=R1xAuuh58Fc
UKIERI_HINDI_AUDIO_052.wav,00:46:19,233,wav,UKIERI_HINDI_AUDIO_052.TextGrid,"IndiaTV Samvaad Subramanian Swamy vs Asaduddin Owaisi at India TV Conclave [Low, 360p]",https://www.youtube.com/watch?v=3cdJYlN8rno
UKIERI_HINDI_AUDIO_053.wav,01:13:07,369,wav,UKIERI_HINDI_AUDIO_053.TextGrid,"JNU And The Anti-National Debate [Low, 360p]",https://www.youtube.com/watch?v=FfqNFEORlSs
UKIERI_HINDI_AUDIO_054.wav,00:15:04,76.1,wav,UKIERI_HINDI_AUDIO_054.TextGrid,"JNUSU Vice President Shehla Rashid speaks at the Protest against HCU crackdown #standwithHCU [Low, 360p]",https://www.youtube.com/watch?v=Dm2wZw-7sMQ
UKIERI_HINDI_AUDIO_055.wav,00:21:44,109,wav,UKIERI_HINDI_AUDIO_055.TextGrid,"Kanahiya Kumar JNU debate [Low, 360p]",https://drive.google.com/file/d/13vL-zoxpgVlfVCeDMlvvrITXVCPvr0vf/view?usp=sharing
UKIERI_HINDI_AUDIO_056.wav,01:05:54,332,wav,UKIERI_HINDI_AUDIO_056.TextGrid,"Kanhaiya - ABVP great Debate, speech on JNU, along with Shehla Rashid, India today conclave 2016 [Low, 360p]",https://www.youtube.com/watch?v=tPbx8r-3Wdc
UKIERI_HINDI_AUDIO_057.wav,00:21:53,110,wav,UKIERI_HINDI_AUDIO_057.TextGrid,"Kanhaiya Kumars powerful speech at Mavlankar Hall, Pratirodh-II 8th April [Low, 360p]",https://www.youtube.com/watch?v=vAdYH3xCEYA
UKIERI_HINDI_AUDIO_058.wav,01:06:44,336,wav,UKIERI_HINDI_AUDIO_058.TextGrid,"Kanhaiya returns to JNU - Full Speech & Slogans (1 hour 6 minutes) [Low, 360p]",https://www.youtube.com/watch?v=yS9AX8rvYhg
UKIERI_HINDI_AUDIO_059.wav,00:25:17,127,wav,UKIERI_HINDI_AUDIO_059.TextGrid,"Kya JNU Rashtra Virodhi Taakaton Ka Adda Bantaa Ja Raha hai [Low, 360p]",https://www.youtube.com/watch?v=62x_2d6KjeE
UKIERI_HINDI_AUDIO_060.wav,00:14:01,70.7,wav,UKIERI_HINDI_AUDIO_060.TextGrid,"MUST WATCH - Zee News Anchor Rohit Sardana rips apart organiser of Anti India event in JNU !! [Low, 360p]",https://drive.google.com/file/d/1khSiKjx_jxvgrEe8Eig1AHqKen3IaX8j/view?usp=sharing
UKIERI_HINDI_AUDIO_061.wav,00:14:32,73.4,wav,UKIERI_HINDI_AUDIO_061.TextGrid,"Narendra Modi making fun of Congress and Kanhaiya Kumar  Narendra Modi speech in Lok sabha [Low, 360p]",https://www.youtube.com/watch?v=VvQSLruviSw
UKIERI_HINDI_AUDIO_062.wav,00:17:15,87,wav,UKIERI_HINDI_AUDIO_062.TextGrid,"Open debate in bw Kanhaiya kumar and ABVP leaders @JNU while election [Low, 360p]",https://drive.google.com/file/d/1JzpuLg90QvZllguFCeFINMOZtc8xGJQK/view?usp=sharing
UKIERI_HINDI_AUDIO_063.wav,01:10:37,356,wav,UKIERI_HINDI_AUDIO_063.TextGrid,"PM Narendra Modis remarkable Speech in Parliament  Narendra Modi Lok Sabha speech [Low, 360p]",https://drive.google.com/file/d/1CFY05pHzWV7AD8MlWL35dieoJMZYTOv-/view?usp=sharing
UKIERI_HINDI_AUDIO_064.wav,00:20:38,104,wav,UKIERI_HINDI_AUDIO_064.TextGrid,"Ravish Kumar talks about the suicide of Dalit PhD scholar Rohith Vemula [English Subtitles] [Low, 360p]",https://www.youtube.com/watch?v=r4eJsBhUyrc
UKIERI_HINDI_AUDIO_065.wav,00:15:56,80.4,wav,UKIERI_HINDI_AUDIO_065.TextGrid,"Richa Singh Allahabad University President at Pratirodh 2 April 8 2016 [Low, 360p]",https://drive.google.com/file/d/1zJYmOLEUit2UzLPSC2WQAVlIxRlVdRt5/view?usp=sharing
UKIERI_HINDI_AUDIO_066.wav,00:11:21,57.3,wav,UKIERI_HINDI_AUDIO_066.TextGrid,"Umar Khalid Speech at Pratirodh April 8 2016 [Low, 360p]",https://drive.google.com/file/d/1zzOHThaNUa5TeNJ6MyzR3aJRxe0Hv5jG/view?usp=sharing
UKIERI_HINDI_AUDIO_067.wav,00:24:56,125,wav,UKIERI_HINDI_AUDIO_067.TextGrid,"What drives a student into becoming a Kanhaiya, asks Ravish Kumar [Low, 360p]",https://www.youtube.com/watch?v=0ct_biFfKY4
,,,,,,
,,,,,,
UKIERI_ENGLISH_AUDIO_001 .wav,01:00:05,606,wav,UKIERI_ENGLISH_AUDIO_001 .TextGrid,Frankly Speaking with Smriti Irani - Full Interview,https://www.youtube.com/watch?v=O3qEEMZXSLc
UKIERI_ENGLISH_AUDIO_002 .wav,01:04:22,649,wav,UKIERI_ENGLISH_AUDIO_002 .TextGrid,Shobha De's Tweet Controversy - The Newshour Debate: Shobhaa De Vs Shiv Sena (9th April 2015) ,https://www.youtube.com/watch?v=Ba48EXd01aw
UKIERI_ENGLISH_AUDIO_003 .wav,00:56:03,565,wav,UKIERI_ENGLISH_AUDIO_003 .TextGrid,Frankly Speaking with Asaduddin Owaisi - Full Interview,https://www.youtube.com/watch?v=QSbaBCPcYMc
UKIERI_ENGLISH_AUDIO_005 .wav,00:17:17,174,wav,UKIERI_ENGLISH_AUDIO_005 .TextGrid,Arnub Vs. Free Speech : News-hour Qtiyapa,https://www.youtube.com/watch?v=Pr65zyDHXlc
UKIERI_ENGLISH_AUDIO_006 .wav,00:16:18,164,wav,UKIERI_ENGLISH_AUDIO_006 .TextGrid,Bollywood Aam Aadmi Party : Arnab’s Qtiyapa,http://www.theviralfever.com/?p=852
